Name,Phone,Phones,Average Rating,lat,lon,Fulladdress
AGAM Anxiety Wellness Clinic,095003 28282,"095003 28282, +91 95003 28282",4.8,13.0674922,80.1621884,"Plot Number 23, MCK Layout, 2nd Main Rd, Nolambur, Chennai, Tamil Nadu 600095"
CHENNAI MINDS,096770 04220,"096770 04220, +91 96770 04220",4.9,12.946376,80.2354845,"139 Plot C, 5th St, MCN Nagar, Thoraipakkam, Tamil Nadu 600097"
Dr. Ramya Sampath,098437 82262,"098437 82262, +91 98437 82262",4.9,13.0567134,80.2350069,"No.36, Nachiappan St, Mahalingapuram, Nungambakkam, Chennai, Tamil Nadu 600034"
JEEVAN MIND CARE CENTER ,095000 00504,"095000 00504, +91 95000 00504",4.9,13.0232841,80.2266884,"118, Bazaar Rd, Periyapet, Saidapet, Chennai, Tamil Nadu 600015"
Indira Mind Clinic - Dr.V.U. Karthikeyan,079048 75468,"079048 75468, +91 79048 75468",5,13.1969265,80.1876506,"2/70, First floor, Sothupakkam Rd, Palavoyal, Red Hills, Chennai, Tamil Nadu 600052"
CHENNAI MIND CLINIC,088259 78522,"088259 78522, +91 88259 78522",4.7,12.9667304,80.1890391,"A8 (1st Floor, Medavakkam Main Rd, above Kid Zone, Senthuran Colony, Madipakkam, Chennai, Tamil Nadu 600091"
Chennai Psychiatry Clinic,098841 69738,"098841 69738, +91 98841 69738",5,13.0920346,80.2027605,"PSR clinic, 6/1, pillayar koil street, Thangam Colony, Anna Nagar, Chennai, Tamil Nadu 600040"
Dr Saravana Jothi's Clinic,093801 99199,"093801 99199, +91 93801 99199",5,13.0396698,80.2108636,"2nd Floor, Magna Clinic, 12, 18th Ave, Sector 10, Sector 13, Ashok Nagar, Chennai, Tamil Nadu 600083"
Swan Mind Care : Dr Vivek Arun Kumar J K ,077087 52799,"077087 52799, +91 77087 52799",4.8,12.926967,80.1119469,"Doctor's Corner 10/A, Kakkan Street, Kumaran Nagar, near Vidya Theatre, Tambaram West, Tambaram, Chennai, Tamil Nadu 600045"
Dr. Anand Balan's Clinic,075502 43742,"075502 43742, +91 75502 43742",4.2,13.0450135,80.2364727,"14, Sambasivam St, Parthasarathi Puram, T. Nagar, Chennai, Tamil Nadu 600017"
